"Authors, Primary",Title Primary,organism,where,Pub Year,Keywords,Abstract,Link
"Vo,Julia","The characteristics of hermit crab populations and shell availability on Moorea, French Polynesia",invert,marine,2005,"Coenobita rugosus, resource availability, Ideal Free Distribution, population structure, hermit crab",<P class=MsoNormal style=,
"Yeung,Carmen","Factors influencing the ecological distribution of two sea urchins, Diadema savignyi and Echinometra mathaei Type A",invert,marine,2005, , ,
"Bandy,Leslie A.","Reproduction, ecological relationships and invasion potential of Spathoglottis plicata in the Opunohu Valley of Moorea",plant,Terrestrial,2004,"introduced species, French Polynesia, orchid, Spathoglottis plicata, mycorrhizal associations, invasion, apomixis, extirpation, naturalized species, invasive species, island biogeography", ,
"D'Artenay,Tamrya Dawn","Phylogenetic analysis of the moss family Calymperaceae on Moorea, French Polynesia",plant,Terrestrial,2004,"phylogenetics, conservation biology, mosses, Calymperaceae, monophyletic grouping, morphological characters, phylogenetic tree, elevation change, reproductive success", ,
"Durst,Paul","Habitat preferences of the avian community on the island of Moorea, French Polynesia",bird,Terrestrial,2004,"biodiversity hotspot, limited resources, avian communities, habitat preference, species interaction, endemic birds, introduced birds, conservation", ,
"Fisher,Bradford G.","On the aquatic adaptation of invasive millipedes to the streams in Moorea, French Polynesia",invert,Terrestrial,2004,"millipedes, Glyphiulus granulatus, Oxidus gracilis, Siphonophora sp., riparian habitats, human introduction, detritivores, submersion experiments, hydraulic stress, streams, aquatic adaptation, ecological expansion, Diplopoda, aquatic, semiaquatic", ,
"Gaard,Brianna L.","Effects of sun exposure on arthropod succession and decomposition rates on chicken carcasses in Moorea, French Polynesia",invert,Terrestrial,2004,"arthropod succession, decomposition, zonation preference, chicken carcasses, biomass removal, insect succession rate, larval development, Calliphoridae larvae, Diptera, foremsic entomology", ,
"Georghoiu,Christina Claire","A study of the tropical marine algae Halimeda discoidea: plant distribution and the effects of epiphyte coverage on fish herbivory in Moorea, French Polynesia",algae,marine,2004,"herbivory, Halimeda, epiphytes, calcification, reef communities, seaweed distribution, Point Aroa, Faimano reef, negative relationship", ,
"Hestir,Erin","Rhizophora stylosa and Paspalum vaginatum sediment morphology on Mo'orea, French Polynesia",plant,Terrestrial,2004,"mangroves, Rhizophora stylosa, salt grass, marsh, sediment accretion, coastline evolution, sediment elevation, sediment fluctuation, root biomass", ,
"Kinney,Michael J.",Habituation and behavioral variance of shrimp-associated gobies related to a natural predator,invert,marine,2004,"mutualism, commensalism, symbiosis, habituation, Gobiidae, alpheid shrimp, predator, Pterois radiata, burrow protection, defensive response", ,
"Lehr,Hillary V.",Insect-crop relationships: community variation by taro (Colocasia esculenta) variety & invasive aphid feeding preference,insect,Terrestrial,2004,"Colocasia esculenta, aphids, Aphis gossypii, crops, agriculture, pests, Xanthosoma sagittifolium, Alocasia macrorrhiza, community structure, multi-variate ordination", ,
"Mai,Vien-Phuong Nini N.","The effects of environment on the developmental morphology of Caulerpa racemosa in Mo'orea, French Polynesia",algae,marine,2004,"Caulerpa racemosa, edible, plasticity, marine green algae, equatorial ecosystem, wave hydrodynamics", ,
"McKeon,Andrew Paul","Pterysogamtid invasion: ectoparsite load as related to maturity across Gekkonidae lizards Gehyra oceanica, Gehyra mutilata, and Lepidodactylus lugubris on Mo'orea, French Polynesia",vertebrate,Terrestrial,2004,"ectoparasite load, gecko, G. oceanica, G. mutilata, L. lugubris, mite, Pterygosomatidae, external morphology", ,
"Morton,Sara",Microhabitat and distribution of several neritid snails in lower reaches of Moorean streams,invert,Terrestrial,2004,"oceania, Neritidae, Neritina, salinity, brackish, microdistribution, mark-and-recapture, freshwater gastropods, streams, population", ,
"Rais,Jenna S.","Behavioral ecology and community structure: aquatic assemblage and predator/prey interactions of the native Ischnura aurora (Zygoptera) from Mo'orea, French Polynesia",insect,Terrestrial,2004,"lentic, lotic, dissolved oxygen, Ischnura aurora, Poecilia reticulata, hemimetabolous, larvae, predation, freshwater, Zygoptera, aquatic assemblages, fish predation, Anisoptera", ,
"Sandoval,Marian B.",Salinity tolerance and aggressive behavior in the freshwater water strider Limnogonus luctuosus (Hemiptera: Gerridae),insect,Terrestrial,2004,"Gerridae, aggression, water strider, salinity, introduced, life history, Limnogonus luctuosus, Opunohu, sea barrier, freshwater, resource limitation", ,
"Spear,Natalie B.",Feeding ecology of Culcita novaeguineae and the calcium carbonate content of select coral prey species,invert,marine,2004,"corallivore, coral reef, Culcita novaeguineae, reef ecosystem, predator-prey interaction, coral grazing", ,
"Tencer,Adrea","Coconut fronds and hibiscus chips as organic mulches for control of non-indigenous weed, Wedelia trilobata, Moorea, French Polynesia",plant,Terrestrial,2004,"Wedelia trilobata, organic mulch, invasive ornamentals, non-indigenous weeds, Cocos nucifera fronds, Hibiscus tiliaceus chips, soil tillage, Botanical Garden", ,
"Tsao,Kimberly",Systematics of moths (Lepidoptera: Geometridae) in French Polynesia and retention of the tympanal organ in the absence of bat predation,insect,Terrestrial,2004,"Geometrid moths, taxonomy, phylogeny, systematics, predator release, Geometridae, morphology, tympanal degredation", ,
"Watkins,W. Teal","An invasive plant Miconia calvescens and the fungal biocontrol pathogen Colletotrichum gloeosporioides f. sp. Miconiae: investigation of factors affecting their distributions on Moorea, French Polynesia",plant,Terrestrial,2004,"invasive plant, biological control, Colletotrichum gloeosporioides f sp Miconiae, Miconia calvescens, native flora, introduced plants, fungal control, effectiveness", ,
"Weiss,Kristen Cheri","Insect-host relationships among endemic and invasive leafhoppers (Hemiptera: Cicadellidae) and planthoppers (Hemiptera: Fulgoroidea) on the island of Moorea, French Polynesia",insect,Terrestrial,2004,"leafhopper, planthopper, insect-host relationships, endemism, invasive, biological control, Cicadellids, Fulgoroids, plant hosts, insect biodiversity", ,
"Wilder,Inga D.","Host plant preference and feeding rate of glassy-winged sharpshooter (Homalodisca coagulata) on Moorea, French Polynesia",insect,Terrestrial,2004,"Homalodisca coagulata, glassy-winged sharpshooter, preference study, feeding rates, vector, Xylella fastidiosa, Pierce's disease, invasive insect", ,
"Baurer,Eva","Faunal distribution and abundance of a saline microbial mat in Moorea, French Polynesia",microbe,marine,2003,"microbial mats, extreme environments, mudflats, hypersaline, arthropods distribution, faunal composition", ,
"Bertics,Victoria","Feeding biology of the cushion sea star, Culcita novaeguineae, in Moorea, French Polynesia",invert,marine,2003,"cushion sea star, Culcita novaeguineae, corallivore, feeding patterns, prey choice, Acropora austera, Pocilloproa, Halimeda", ,
"Billings,Jasper",The relationship between wave energy and features on the barrier reef of Moorea,invert,marine,2003,"barrier reef, wave intensity, coral growth, Turbinaria", ,
"Brown,Mackenzie","A comparative germination of four coastal strand plants on Moorea, French Polynesia: with emphasis on Pemphis acidula",plant,Terrestrial,2003,"Pemphis acidula, Thespesia poplnea, Scaevola sericae, Suriana maritima, coastal vegetation, Motu, reef islands, salt tolearance, germination, distribution", ,
"Dimenstein,Hadas","Influence of decompositional state on arthropod richness and abundance in allochthonous wracks of Turbinaria ornata in littoral zones of Moorea, French Polynesia",invert,marine,2003,"Allochthonous inputs, food web dynamics, wracks, macroalgae, Turbinaria ornata, shoreline ecosystems, arthropod abundance, decomposition", ,
"Grady,Brendan","Factors affecting growth of big-leaf mahogany, Swietenia macrophylla, on Moorea",plant,Terrestrial,2003,"big leaf mahogany, Swietenia macrophylla, timber, hardwood, plantation, Mean Annual Increment (MAI), rainfall, slope, elevation, site quality, Merremia peltata, growth rate, permanent plots", ,
"Katz,Lisa","The ecology of rhodoliths from shallow-water back reef environments in Moorea, French Polynesia",algae,marine,2003,"corraline red algae, rhodoliths, Lithophyllum, Hydrolithion reinboldii, CaCO3 budget, morphology, distribution", ,
"Laederich,Heather","The aftermath of a boring date: the facilitative role, habitat and coral hosts of the infaunal date mussel Lithophaga sp",invert,marine,2003,"bivalve, coral vorer, coral, Lithophaga, Porites, Montipora spp., Pocillopora verrucosa, Acropora cytherea, geographical distribution, community succession", ,
"Linkem,Charles",Distribution of the polycheate Spirobranchus giganteus corniculatus on various coral types,invert,marine,2003,"Spirobranchus giganteus corniculatus, polycheate, christmas tree worm, coral associate, coral distribution, larvae, density", ,
"Falvo, Caylee A.","OVERCOMING BARRIERS: THE CLIMBING ABILITY AND DISTRIBUTION OF THREE SPECIES OF DIADROMOUS SHRIMP 
(A. PILIPES, C. WEBERI, AND MACROBRACHIUM SPP.) ON MOOREA, FRENCH POLYNESIA",invert,marine,2013,"barriers; diadromous; Atyidae; Palaemonidae; Moorea, French Polynesia",,
"Magudia,Kirti","Temporal and spatial variation in physical factors at the temae intertidal and supralittoral microbial mats in moorea, French Polynesia",microbe,marine,2003,"microbial mats, zonation, temporal variation, spatial variation", ,
"Parnell,Leti Kaz","Invasion of the Glassy-winged sharpshooter (Homalodisca coagulata) in the Society Islands, French Polynesia: host speceis and egg survival",insect,Terrestrial,2003,"Homalodisca coagulata, Hemiptera, Cicadellidae, Xylella fastidiosa, scorching diseases, host species, invasion, xylem clogging bacterium, host plant species", ,
"Plevin,Rebecca","Transportation of Framinifera in Turbinaria ornata and Sargassum mangarevense rafts in Cook's bay, Moorea, French Polynesia",invert,marine,2003,"Sargassum mangarevense, Turbinaria ornata, vegetation rafts, Foraminifera, distribution, species composition", ,
"Skinner,John Carey",Arthropod density and diversity of Moorean tree groves,invert,Terrestrial,2003,"ironwood tree, Casuarina equisetifolia, Carribean pine, Pinus caribaea, Wedelia trilobata, Dicranopteris linearis, fern, insect density, insect diversity", ,
"Standish,Jessie","Factors influencing survivorship of larval Culex roseni in the carbonate platform pools of Moorea, French Polynesia",insect,Terrestrial,2003,"Culex roseni, endemic, mosquito, larval populations, karst pools, carbonate platforms, salinity", ,
"Stanley,Jeffrey","Attractant response, species distribition, and diurnal activity levels of mosquitos (Aedes aegypti, Aedes polynesiensis, Culex quinquefasciatus) in Moorea, French Polynesia",insect,Terrestrial,2003,"mosquito, mosquito borne diseases, malaria, dengue fever, yellow fever, disease control, population distribution, attractants, Aedes polynesiensis, Aedes aegypti, Culex quinquefasciatus, carbon dioxide, octenol, diurnal, olfactometer", ,
"Stone,Yujiro","Factors influencing the fate of prey in communal webs of Cyrtophora molccensis and the ""kleptoparasitic"" argyrodes argentatus",invert,marine,2003,"spiders, Cyrtophora moluccensis, Argyrodes argentatus, communal webs, prey capture behavior, mutualism", ,
"Strong,Lacey","The secret identity of an infaunal holithurian, Chiridota hawaiiensis: a close look at anatomy and burrowing behaviors",invert,marine,2003,"infaunal holothurian, intertidal, respiratory trees, tube feet, Chiridota hawaiiensis, Chiridota rigida, burrowing behavior, population distribution, motu Tiahura, abundance", ,
"Tran,Cawa","Feeding and habitat selection of the sea cucumber Holothuria leucospilota in Moorea, French Polynesia",invert,marine,2003,"Holothuria leucospilota, distribution, Point Aroa reef, deposit feeder, habitat composition , sediment layer, organic matter absorbtion", ,
"Waljeski,Christine","Systematic karst pool erosion within the conglomerat platforms of Moorea, French Polynesia",ecosystem,Terrestrial,2003,"karst morphology, erosion, carbonate platforms, Motu, Temae, Tiahura, Ahi, surface topography, evolutionary systems, karst pool", ,
"Berkson,C. A.","Coral and invertebrate recruitment patterns in Moorea, French Polynesia",invert,marine,2002,Moorea;French Polynesia;Invertebrates;Corals;colonization;herbivory;Pocilloporidae;Acroporidae;Bryozoa,"Coral reefs display a considerable spacio-temporal variability, which makes their species composition, age structure, reproduction and recovery from disturbance very difficult to predict. Coral reefs world-wide are becoming increasingly threatened by natural and anthropogenic impacts, and due to their enormous importance as a natural resource, increased knowledge of reefs' reproductive biology is necessary for proper management and restoration. The objectives of this study were to document patterns of coral and invertebrate recruitment to artificial substrata (unglazed ceramic tiles) in Moorea, French Polynesia and to determine if there is any effect of site, depth and/or grazing on recruitment. Four sites were tested, characterizing the two bays, back-reef and fore-reef habitats, as well as two depths at each site (15 & 40 ft.). At each site and depth there were three tiles covered by a wire mesh cage and three left uncaged to describe the herbivory effects on recruitment. A total of 9 coral recruits comprising two families, Pocilloporidae and Acroporidae, were found on 42 tiles in one month. No significant relationships between site, depth, and caged/uncaged were found for acropora recruits. For pocillopora recruits, a significant site effect was revealed (p=0.029), as well as a nearly significant caging effect (p=0.055). A significant effect of depth on pocillopora recruits was found, as well as a significant interaction between site and depth, revealed by a 2-way ANOVA (p=0.029). Invertebrate recruits were grouped into functional taxa- bivalves, tube-dwelling polychaetes, encrusting sponges and tunicates. Significant site effects were found for bivalves, porifera and bryozoans. Significant depth effects were found for bivalves, tunicates and polychaetes. Significant caging effects were found for bryozoans, tunicates and polychaetes.",
"Carlson,S. K.",Cleaning Behavior of Xanthid Crabs on the Scleractinian Corals Pocillopora eydouxi and P. meandrina,invert,marine,2002,Moorea;French Polynesia;corals;Pocillopora;Pocilloporidae;Scleractinia;Cnidaria;crabs;Trapezia;Xanthidae;Crustacea;Decapoda;Arthropoda;mutualism;sedimentation;behavior,"A symbiotic relationship exists between crabs of the family Xanthidae and pocilloporid corals. On the island of Moorea, French Polynesia, changes in land use have led to increasing sedimentation in Pao Pao Bay. The mutualistic relationship between these crabs and their pocilloporid hosts elicits consideration for the role of crabs in maintaining coral vitality in areas of high sedimentation. The purpose of this study is to determine the function of Trapezia spp. crabs in keeping two species of Pocillopora (Pocillopora eydouxi and P. meandrina) clean and healthy. Fieldwork was conducted on the back reef of Moorea between the island‚Äôs two major bays. Fifty corals were sampled to determine coral volume and crab species present. Twenty separate corals were removed from the back reef and placed in a controlled environment for testing. Sediment was added to each coral for 48 hours. Crabs were then removed and the experiment repeated. Difference in sediment cleared between corals with crabs and those without was highly significant (p = .003). Number of crabs in corals did not predict percent sediment removed (R¬≤ = .012). The mechanism of sediment removal remains yet to be determined. Three plausible explanations are: 1. Crabs play and active role in clearing sediment by physically removing sand grains. 2. Crabs play a passive role in clearing sediment as they move around and feed 3. Crabs consume sediment when feeding on coral mucus. Other factors must be taken into consideration including coral morphology, mucus shedding, and water movement. The symbiosis between Pocillopora and Trapezia spp. crabs may give it an advantage over other coral genera in areas of increasing sedimentation.",
"Cushing,L. J.",Epiphyte community composition on three non-native and three indigenous tree hosts,plant,Terrestrial,2002,Moorea;French Polynesia;epiphyte;invasive species;plants;Myrtaceae;Fabaceae;Rubiaceae;Pandanaceae;Bignoniaceae;Metrosideros collina;Neonauclea forsteri;Pandanus tectorius;Paraserianthes falcatoria;Psidium cattleianum;Spathodea campanulata,"I examined the epiphyte community composition on the three indigenous trees Metrosideros collina (Myrtaceae), Neonauclea forsteri (Rubiaceae), and Pandanus tectorius (Pandanaceae) and the three non-native tree species Paraserianthes falcatoria (Fabaceae), Psidium cattleianum (Myrtaceae), and Spathodea campanulata (Bignoniaceae) on the island of Mo‚Äôorea, French Polynesia. Host characteristics hypothesized to relate to epiphyte abundance were also examined. Paraserianthes and Psidium were found to support less epiphyte cover overall. Epiphyte community composition was distinct between host species, and Metrosideros and Neonauclea support significantly more cover and richness of vascular species than the other trees. These two species also have higher percent cover of loose flaking bark and high bark water-absorption capacity, suggesting that bark stability and moisture content are important for vascular epiphytes. These results suggest that invasion by non-native trees has implications for epiphyte conservation, and consequences will likely be specific to the tree species.",
"DiVittorio,C. T.",Spatial heterogeneity and species diversity of marine algae,algae,marine,2002,Moorea;French Polynesia;algae;spatial heterogeneity;herbivory;succession;diversity;architecture;colonization,"Understanding the effects of spatial heterogeneity in ecological communities is a central goal of community ecology. This study examines the relationship between small scale (1-10 cm) topographic heterogeneity and species richness among 57 marine algal species. Patterns of algal recruitment on artificial substrates (clay tiles) varying in their degree of spatial structure were compared with natural assemblages. A strong positive relationship between spatial heterogeneity and species richness was detected for recruitment tiles but not for natural assemblages. Algal species were further classified as ‚Äúrecalcitrant‚Äù or ‚Äúlabile‚Äù according to their possession of herbivore-resistant traits. A negative relationship was detected between spatial heterogeneity and degree of recalcitrance among algal species for experimental tiles but not for natural assemblages. This indicates that heterogeneity creates spatial refugia from herbivory for less protected species on short successional time scales but that this benefit disappears at longer time scales. Monte Carlo simulation confirmed that the mechanism of the observed heterogeneity-richness relationship was the result of increased microhabitat diversity in more complex substrates. No relationship was detected in natural assemblages for several reasons. Body size scales in proportion to successional sere and age, and larger individuals may not perceive heterogeneity on the scale measured. Moreover, on a per-area basis, large bodied organisms are less species rich than small bodied ones. Thalus size of late successional species were typically one order of magnitude greater than the measured heterogeneity. Likewise, thalus size of early successional species were typically one order of magnitude less than the measured heterogeneity. Larger, more competitive late successional species eventually dominate the habitat, reducing local diversity. A preliminary synthesis is developed on the relationship between spatial heterogeneity, trophic structure, life-history variation, disturbance, and body size, in relation to relative abundance, diversity, and scale.",
"Hara,C. A.","Abundance and Response of Carcharhinus melanopterus to Feeding Stimuli in Mo‚Äôorea, French Polynesia",fish,marine,2002,Carcharhinus melanopterus;Chondrichthyes;Carcharhinidae;shark feeding;behavior;Mo‚Äôorea;French Polynesia,"The blacktip reef shark, Carcharhinus melanopterus, was observed in response to feeding stimuli in Mo‚Äôorea, French Polynesia. Natural abundance, abundance in response to feeding stimuli and abundance prior to tour boat arrival were observed at two established sites(1,2), and a third newly established site(3). The arrival time of C. melanopterus prior to food stimuli in the water was also observed in order to determine if the tour boat acted as an attractant. Interactions between time of day and shark abundance were compared with one another to determine if a significant interaction occurred at each site. Statistical analysis showed that time of day and site were significant indicators of abundace at established sites, but not at a newly established site. The data also indicate that at established sites a slight increase in abundance occurred prior to boat arrival, but it was not statistically significant. Statistical analysis of C. melanopterus arrival times at sites 1,2 and 3, and found that sites 1 and 2 were more similar than site 3, which did not have a response from C. melanopterus to food stimuli, time of day, or boat stimuli. Arrival prior to food placement in the water at sites 1 and 2 was observed and introduces the possibility that the sharks may be responding to the cue of boat presence, and not only food stimuli. The lack of response to stimuli at site 3 in contrast with the behaviors shown at sites 1 and 2 suggests that the natural behavior of C. melanopterus has been altered to an extent at established sites.",
"Hirst,M.","The Effects of Sedimentation on Porites in Moorea, French Polynesia",invert,marine,2002,Moorea;French Polynesia;corals;Porites;Poritidae;Cnidaria;sedimentation;bleaching;environmental health,"Sedimentation and its effect on coral bleaching of Porites were assessed for Cook‚Äôs Bay, Mo‚Äôorea, French Polynesia. Sediment traps were placed in the field and collected weekly and at 24-hour intervals. Quadrats were used to survey Porites at each site and to record signs of bleaching. Dried sediment samples were analyzed for size using a micrometer and analyzed for composition using a petrograph. A lab experiment added sediment at different levels (250 mg/ cm2, 500 mg/ cm2, and 1000 mg/ cm2) and different sediment sizes (83 microns and less than 83 microns) to coral heads of Porites lutea. A regression between mass of sediment (mg) for weeklong samples and percent of each quadrat bleached at each site gave an r-squared value of .004626 (p-value= .6533). A regression between mass of sediment (mg) for 24 hour-long traps and percent of the quadrat bleached at each site gave an r-squared value of .006706 (p-value= 0.7021). ANOVA tests found statistically significant differences among the controls (both 83 microns and less than 83 microns) and the treatment groups 250 mg/cm2 and 500 mg/cm2 (sediment size less than 83 microns). Particle size and composition does not differ at different sites throughout the bay (p-value= 1.000). Composition and sediment sizes are uniform within Cook‚Äôs Bay. Sedimentation causes bleaching in P. lutea under laboratory conditions for smaller sediment sizes. The discrepancy between the results found in the field and those found in the lab exist because several other factors such as sunlight penetration, sea surface temperature, and competition vary at large spatial and temporal scales.",
"Holl,J. F.","The Bioactivity and Ethnobotany of Lichens, Moorea, French Polynesia",plant,Terrestrial,2002,Moorea;French Polynesia;lichens;ethnobotany;Cladonia;Heterodermia;Usnea;Ramalina;Parmeliella;Parmotrema;Pseudocyphellaria;Siphula;cytotoxicity;antimicrobial,"Based on previous findings of bioactivity in lichens and documented ethnomedical use in other parts of the world, information on the ethnobotany and bioactivity of the lichens of the Society Islands was sought on the islands of Mo‚Äôorea and Tahiti. Approximately 25 species of lichens were collected. Twelve of these species were presented in interviews with indigenous people to gain information on ethnotaxonomy and traditional medicinal uses. Six of the lichens were tested for antimicrobial activity using Streptococcus thermophilus and Lactobacillis bulgaricus and for cytotoxicity using Artemia salina. One to two general Ma‚Äôohi (Tahitian language) names are used for the lichens, based on gross morphology, but two specialized names are used for the species ?Parmeliella brisbanensis depending on the age of the specimen. Two species of Ramalina and two species of Usnea are used to treat internal tumors and all four of these species tested significantly cytotoxic. ?Parmeliella brisbanensis, ?Siphula sp., and Cladonia subsquamosa are used to treat infected wounds and ulcers, however these lichens were not included in the antimicrobial tests because the ethnobotanical information was late in coming. No antimicrobial activity was shown for those lichens tested. Most of the ethnotaxonomic data, and all of the ethnomedical data came from the islands of Huahine, Taha‚Äôa, and the Australs. The ethnobotanical knowledge of the lichens on Mo‚Äôorea and Tahiti is fragmentary, which may be the result of regional differences, higher levels of occidental cultural influence on Mo‚Äôorea and Tahiti, and/or stricter application of colonial laws forbidding Ma‚Äôohi language and medical practice in the islands.",
"Keeney,B. K.","The Mechanism of Web Parasitism by Argyrodes argentatus (Araneae, Theridiidae) on Cyrtophora moluccensis (Araneae, Araneidae)",invert,Terrestrial,2002,Moorea;French Polynesia;kleptoparasitism;Argyrodes;Cyrtophora;symbiosis;behavior;spiders;Aranaea;Theridiidae;Araneidae,"In this field and laboratory experiment I investigated the mechanism of web kleptoparasitism by Argyrodes argentatus (Araneae: Theridiidae) on Cyrtophora moluccensis (Araneae, Araneidae) host webs by studying the factors that influence the kleptoparasite population. I examined natural population variations of A. argentatus that occur with (1) different host web sizes, (2) different host body sizes, (3) host behaviors and (4) whether the host was in an individual or colonial web. Results from field surveys indicate that a positive relationship exists between the average number of A. argentatus on a web and the size of host web. Field tests support that there is no relationship between average numbers of A. argentatus on a web and the host size, however, tests in the lab suggest that A. argentatus prefers C. moluccensis hosts less than 2.54 centimeters long. Significance was found between aggressive behaviors by the host C. moluccensis and host web size, as well as host body size. Host feeding behaviors and whether the hosts web was individual or in a colony also showed significance, however, results show there is no relationship between population variations of A. argentatus and C. moluccensis behaviors. The numbers of A. argentatus on colonial host webs as opposed to individual host webs showed significant differences. These results show that web kleptoparasitism by A. argentatus on C. moluccensis is influenced by host web size, host body size and whether the host is in an individual web or a colony, however it is not explained by any one of these factors. The interaction results from a variety of factors working together which produce the parasite distributions and population characteristics observed.",
"Mendez,G. S.",The re-infection of bleached Fungia sp. corals using Zooxanthellae extracted from corals of various families and depths,coral,marine,2002,Moorea;French Polynesia;Cnidaria;Fungia;Scleractinia;zooxanthellae;symbiosis;re-infection;corals;bleaching;Gonodactylellus childi;Gonodactylellus;Raoulserenea pygmaea;Raoulserenea;Stomatopoda;Malacostraca;Crustacea;Arthropoda;behavior;aggression;territoriality;learning,"Corals belonging to the subgenus Fungia were experimentally bleached and experimentally re-infected with zooxanthellae extracted from corals of various families and depths, to investigate species and habitat specificity between symbiotic dinoflagellates (zooxanthellae) and bleached adult corals. This study is the first to experimentally re-infect bleached corals. Thirty-two Fungia corals were bleached using a combination of elevated water temperature and high intensity light. Bleached corals were divided into four treatment groups that were subjected to repeated inoculations of zooxanthellae extracted from donor corals of like and different depths and families. Statistical analysis of data, obtained using a novel method of quantification involving digital imaging, found significant differences in the rates of re-infection between treatment groups. Zooxanthellae extracted from corals of the same subgenus were better able to infect bleached corals than were zooxanthellae extracted from dissimilar genera. In addition, no difference was found between the re-infection rates of bleached corals treated with zooxanthellae extracted from different depths. Lastly a novel means of quantification involving the use of digital imaging and analysis of images in Adobe Photoshop‚Ñ¢ was created in order to measure the rate of re-infection in bleached coral tissues.",
"Nagtalon,J.","Do stomatopods use visual observations to make decisions about evicting residents? A study on decision making in the stomatopod, Gonodactylellus childi (Manning 1971) in Moorea, French Polynesia",invert,marine,2002,Moorea;French Polynesia;Gonodactylellus;Raoulserenea;Stomatopoda;Malacostraca;Crustacea;Arthropoda;behavior;aggression;territoriality;learning,"Stomatopods have the most sophisticated peripheral visual system in the animal kingdom and have considerable learning and memory capabilities. Because stomatopods have a remarkable visual system and compete aggressively over cavities, this study tested whether stomatopods use information obtained by visual observation to make decisions about which residents to attempt to evict. Gonodactylellus childi were allowed to observe either two empty cavities, an empty cavity and a G. childi occupied cavity, or a cavity occupied by another G. childi and a cavity occupied by a less competitive resident, Raoulserenea pygmaea. I found that G. childi do not use visual observations to make decisions about evicting residents. In each group, the number of stomatopods that first approached and entered one cavity type was not significantly different from the number of stomatopods that first approached and entered the other cavity type. Additionally, the differences in ranks of the times of first approach and entry into either cavity did not differ significantly between the three groups. No behavioral differences were detected with respect to how stomatopods first approached and entered empty versus occupied cavities. These results suggest that 1. G. childi do not remember or learn the differences between the two types of cavities based on visual cues alone and/or 2. G. childi do not prefer which type of cavity to occupy. Further study on decision making behavior with other stomatopods is recommended to see whether observers adjust their agonistic behavior based on observed interaction.",
"Nguyen,A. T.","Preferential Breeding Habitats of Mosquitoes (Aedes aegypti, Aedes polynesiensis, Culex quinquefasciatus, Culex atripceps, Culex roseni, Culex annulirostris, Toxorhynchites amboinesis) in Mo‚Äôorea, French Polynesia",insect,Terrestrial,2002,Moorea;French Polynesia;mosquitoes;Aedes;Culex;Toxorhynchites amboinensis;Diptera;Culicidae;Insecta;breeding sites;habitat preference;coconuts,"To ensure success in controlling populations of mosquitoes that are vectors for known diseases such as dengue fever, and lymphatic filariasis, a better understanding of their ecology and behavior is necessary. This study aims to explore the preferential breeding behavior of Aedes aegypti, Aedes polynesiensis, Culex quinquefasciatus, Culex atripceps, Culex roseni, Culex annulirostris, and Toxorhynchites amboinesis of Mo‚Äôorea in French Polynesia. Location, inland or coastal, as well as container type was hypothesized to influence ovipositioning behaviors of mosquitoes. Sets of traps consisting of four different treatments were placed in ten different sites on Mo‚Äôorea. Of the sample sites, half were inland and half were relatively coastal. An ANOVA test showed that container type was more influential in determining where mosquitoes breed than location. Chi-square tests showed that only Ae. aegypti showed preferential breeding behaviors in coconuts. Rainfall is another factor affecting the distribution and abundance of mosquitoes. There was a lag time between days of rain and increases in number of mosquitoes. These results suggest that coconuts are the preferred larval habitat despite location. It is suggested that a control program cleaning up fallen coconuts or altering the chemistry of the water in the coconuts with additives should be implemented. Monthly surveys of the island should also be done to monitor the progress of the proposed program",
"Ochomogo,M. C.",Factors influencing the grouping behavior of the spider Pholcus ancoralis (Araneae: Pholcidae),invert,Terrestrial,2002,Moorea;French Polynesia;Pholcus ancoralis;Pholcidae;Araneae;spiders;distribution;habitat preference;aggregation;prey abundance;substrate selection;Inocarpus;Fabaceae;invasive species;alien species,"ABSTRACT. Many behavioral models are based on the premise that animals should avoid the presence of competing individuals. Although spiders are territorial by nature, some species of spiders are known to live in groups. This investigation studies solitary versus grouped distributions of the sheet-weaving spider Pholcus ancoralis (Araneae: Pholcidae) on the island Moorea, French Polynesia. The study focuses on five potential causal factors of grouping: habitat, prey capture, egg protection, spider size, and substrate on which the webs were constructed. The results of a habitat sampling demonstrated that habitat, prey capture, and egg protection did not have a significant influence on the solitary versus grouped distribution of spiders. Size of spider showed significance in grouping distributions. Large spiders (0.8-0.9cm) on average were found more often in groups while small spiders (<0.5 cm) were more often solitary. Spiders were also captured, marked, and released to test if individuals showed a preference for solitary versus grouped living. Released spiders more often formed groups on Inocarpus fagifera trunks, rocks, and Angiopteris ferns, while spiders on leaves and branches were more likely to be solitary. Solitary or grouped behavior prior to capture was not a good predictor for whether spiders would be solitary or grouped post-release.",
